GUYH850101	0.1	-1.42	0.78	0.83	-2.12	0.33	-0.5	-1.13	1.4	-1.18	-1.59	0.48	0.73	0.95	1.91	0.52	0.07	-1.27	-0.51	-0.21	-0.0915
MIYS990104	-0.04	-0.38	0.19	0.23	-0.38	0.09	-0.04	-0.34	0.33	-0.37	-0.3	0.13	0.19	0.14	0.07	0.12	0.03	-0.29	-0.33	-0.29	-0.062
PRAM900102	1.29	1.11	1.04	1.44	1.07	0.56	1.22	0.97	1.23	1.3	1.47	0.9	0.52	1.27	0.96	0.82	0.82	0.91	0.99	0.72	1.0305
PALJ810112	0.98	1.01	0.74	0.59	1.23	0.9	1.17	1.38	0.83	1.05	0.82	0.66	0.73	0.63	1.03	0.98	1.2	1.62	1.26	1.23	1.002
ROBB760105	-2.3	4.4	-4.4	-5.0	2.6	-4.2	-2.5	6.7	-3.3	2.3	2.3	-4.1	-1.8	1.2	0.4	-1.7	1.3	6.8	-1.0	4.0	0.085
PPIIPRO---	0.37	0.25	0.30	0.42	0.17	0.13	0.20	0.39	0.56	0.24	0.36	0.27	1.0	0.53	0.38	0.24	0.32	0.39	0.25	0.25	0.0
ZIMJ680104	6.0	5.05	2.77	3.22	5.48	5.97	7.59	6.02	9.74	5.98	5.74	5.41	6.3	5.65	10.76	5.68	5.66	5.96	5.89	5.66	6.0265
FASG760101	89.09	121.15	133.1	147.13	165.19	75.07	155.16	131.17	146.19	131.17	149.21	132.12	115.13	146.15	174.2	105.09	119.12	117.15	204.24	181.19	136.901
GRAR740103	31.0	55.0	54.0	83.0	132.0	3.0	96.0	111.0	119.0	111.0	105.0	56.0	32.5	85.0	124.0	32.0	61.0	84.0	170.0	136.0	84.025
RADA880106	93.7	135.2	142.6	182.9	228.6	52.6	188.1	182.2	215.2	173.7	197.6	146.3	0.0	177.7	250.4	109.5	142.1	157.2	271.6	239.9	164.355
